team, Date, OPPONENT, PassYdLine, PASS_YD, RecYdLine, REC_YD, RecYdLine, REC_YD, result, OverUnder, Spread, ReceptionsPG, PlaysPG, TargetsPG, ExpectedPointsPG, PointsPG, NetYdsPerPassAtt, RushYdsPG, RushYdsPerAtt, RushFirstDownsPG, RecTDPG, YardsPerPlay, TurnoversPG, FumblesPG, FirstDownsPG, PassCompsPG, PassAttPG, PassTDPG, PassIntPG, PassFirstDownsPG, PenaltiesPG, PenaltyFirstDownsPG, ScoresPerOffDrivePG, YardsPG, FeelsLike, WindSpeed, passYPG, recYPG1, recYPG2, medianPassYPG, medianRecYPG1, medianRecYPG2
Justin Herbert Mike Williams Josh Palmer, 10/09, cle, 273.5, 228, 67.5, 134, 35.5, 24, 0, 47, -1.5, 9.94, 61.20, 16.70, -3.41, 22.40, 6.00, 135.00, 4.70, 7.59, 0.88, 5.40, 1.18, 0.53, 19.40, 18.50, 30.50, 1.18, 0.65, 9.76, 5.18, 2.00, 38.50, 331.20, 60.20, 15.00, 294.90, 71.60, 20.80, 334.00, 113.00, 30.00
Justin Herbert Mike Williams Josh Palmer, 10/17, den, 266.5, 238, 68.5, 17, 39.5, 57, 0, 46, -3.5, 11.70, 63.50, 18.80, 0.43, 21.10, 5.60, 109.80, 4.30, 6.41, 0.53, 5.00, 1.35, 0.47, 19.10, 23.10, 35.60, 1.18, 0.88, 10.60, 6.24, 2.06, 35.90, 320.00, 70.00, 0.00, 294.90, 71.60, 20.80, 297.00, 113.00, 25.00
Justin Herbert Mike Williams Josh Palmer, 11/20, kan, 279.5, 280, 60.5, 15, 36.5, 106, 0, 52, 5.0, 13.10, 64.30, 20.20, -3.86, 21.70, 5.60, 107.20, 4.40, 6.00, 1.18, 5.10, 1.18, 0.53, 19.80, 24.00, 36.40, 1.94, 0.65, 12.20, 5.76, 1.65, 35.90, 328.20, 70.00, 0.00, 294.90, 71.60, 20.80, 297.00, 113.00, 30.00
Justin Herbert Mike Williams Josh Palmer, 12/11, mia, 298.5, 367, 47.5, 116, 47.5, 53, 2, 55, 3.0, 13.20, 63.90, 21.10, -3.91, 23.50, 6.00, 103.00, 4.10, 5.76, 0.65, 5.30, 0.82, 0.35, 19.80, 24.50, 36.70, 1.59, 0.47, 11.80, 4.94, 2.24, 37.50, 337.80, 70.00, 0.00, 294.90, 71.60, 20.80, 280.00, 17.00, 30.00
Justin Herbert Mike Williams Josh Palmer, 12/18, ten, 307.5, 313, 69.5, 67, 43.5, 49, 0, 46, -3.0, 14.50, 64.70, 22.10, -3.07, 21.10, 6.60, 76.90, 3.40, 5.47, 1.18, 5.40, 1.18, 0.35, 19.90, 25.80, 39.50, 1.71, 0.82, 12.60, 6.76, 1.82, 33.90, 351.60, 70.00, 0.00, 294.90, 71.60, 20.80, 297.00, 113.00, 53.00
Justin Herbert Mike Williams Josh Palmer, 12/26, ind, 282.5, 235, 58.5, 76, 36.5, 16, 0, 44, -3.5, 11.60, 64.20, 17.60, -3.00, 25.10, 6.10, 124.10, 4.10, 7.47, 0.88, 5.20, 1.24, 0.65, 20.20, 21.50, 31.60, 1.47, 0.59, 10.80, 5.24, 1.94, 36.00, 334.00, 70.00, 0.00, 294.90, 71.60, 20.80, 297.00, 67.00, 49.00
Kenny Pickett Diontae Johnson George Pickens, 10/09, buf, 18.5, 327, 51.5, 60, 41.5, 83, 2, 44, 14.0, 12.60, 62.30, 20.30, 0.28, 17.90, 5.60, 104.60, 4.30, 6.44, 1.13, 5.10, 1.69, 0.63, 19.60, 22.60, 35.60, 1.31, 1.06, 11.30, 5.56, 1.81, 31.00, 319.10, 59.90, 18.70, 0.00, 72.60, 0.00, 0.00, 72.60, 0.00
Kenny Pickett Diontae Johnson George Pickens, 10/16, tam, 237.5, 67, 60.5, 28, 47.5, 27, 1, 46, 9.5, 12.60, 63.10, 20.20, -2.15, 21.10, 5.60, 120.70, 4.50, 6.06, 0.94, 5.10, 1.18, 0.59, 18.50, 21.40, 33.50, 1.71, 0.59, 10.90, 5.71, 1.47, 33.00, 324.30, 60.30, 8.70, 0.00, 72.60, 0.00, 327.00, 60.00, 83.00
Kenny Pickett Diontae Johnson George Pickens, 10/23, mia, 224.5, 257, 55.5, 42, 42.5, 61, 0, 46, 7.0, 13.20, 63.90, 21.10, -3.91, 23.50, 6.00, 103.00, 4.10, 5.76, 0.65, 5.30, 0.82, 0.35, 19.80, 24.50, 36.70, 1.59, 0.47, 11.80, 4.94, 2.24, 37.50, 337.80, 75.80, 9.20, 0.00, 72.60, 0.00, 327.00, 60.00, 83.00
Kenny Pickett Diontae Johnson George Pickens, 10/30, phi, 215.5, 191, 50.5, 35, 40.5, 0, 1, 43, 11.0, 10.80, 63.10, 18.00, 1.22, 20.20, 4.90, 121.60, 4.60, 6.76, 0.94, 4.80, 1.59, 0.59, 19.10, 20.60, 32.70, 1.29, 1.00, 10.90, 5.59, 1.41, 32.40, 301.50, 62.00, 0.20, 0.00, 72.60, 0.00, 257.00, 42.00, 61.00
Kenny Pickett Diontae Johnson George Pickens, 11/13, nor, 215.5, 199, 52.5, 63, 42.5, 32, 0, 40, -1.0, 11.40, 63.30, 18.10, -1.80, 20.30, 5.40, 130.50, 4.50, 7.18, 0.71, 5.00, 0.82, 0.41, 18.80, 18.90, 31.50, 1.00, 0.41, 9.35, 5.41, 2.24, 34.80, 314.80, 29.50, 11.20, 0.00, 72.60, 0.00, 257.00, 42.00, 61.00
Kenny Pickett Diontae Johnson George Pickens, 11/20, cin, 214.5, 265, 50.5, 21, 40.5, 83, 0, 40, 3.5, 10.60, 62.30, 17.90, -1.25, 20.10, 6.20, 106.60, 4.20, 6.38, 0.69, 5.40, 1.50, 0.69, 18.40, 20.60, 34.90, 1.06, 0.81, 10.80, 6.25, 1.25, 36.40, 335.70, 17.90, 12.10, 0.00, 72.60, 0.00, 199.00, 42.00, 32.00
Kenny Pickett Diontae Johnson George Pickens, 11/28, ind, 222.5, 174, 46.5, 49, 42.5, 57, 0, 40, 2.5, 11.60, 64.20, 17.60, -3.00, 25.10, 6.10, 124.10, 4.10, 7.47, 0.88, 5.20, 1.24, 0.65, 20.20, 21.50, 31.60, 1.47, 0.59, 10.80, 5.24, 1.94, 36.00, 334.00, 70.00, 0.00, 0.00, 72.60, 0.00, 257.00, 42.00, 61.00
Kenny Pickett Diontae Johnson George Pickens, 12/04, atl, 222.5, 197, 55.5, 60, 45.5, 2, 0, 42, -1.0, 12.50, 63.60, 19.30, -7.26, 22.70, 6.80, 130.20, 4.40, 8.00, 0.94, 5.70, 1.00, 0.41, 20.60, 21.90, 33.00, 1.53, 0.59, 11.80, 5.88, 0.88, 43.50, 362.10, 70.00, 0.00, 0.00, 72.60, 0.00, 199.00, 42.00, 57.00
Kenny Pickett Diontae Johnson George Pickens, 12/11, bal, 214.5, 0, 47.5, 82, 42.5, 78, 0, 36, -2.0, 13.50, 61.60, 20.80, -1.90, 18.50, 6.20, 92.10, 3.90, 5.35, 0.71, 5.30, 1.47, 0.65, 19.00, 23.20, 34.90, 1.18, 0.82, 12.10, 4.65, 1.53, 35.80, 324.30, 39.30, 6.30, 0.00, 72.60, 0.00, 199.00, 49.00, 57.00
Kenny Pickett Diontae Johnson George Pickens, 12/24, lvr, 180.5, 244, 46.5, 64, 35.5, 57, 2, 38, -2.5, 12.20, 63.40, 18.50, -7.77, 24.60, 6.70, 122.80, 4.50, 7.41, 0.76, 5.80, 0.76, 0.41, 21.20, 23.50, 34.70, 1.47, 0.35, 12.10, 5.47, 1.65, 40.80, 365.60, -8.20, 16.30, 0.00, 72.60, 0.00, 197.00, 49.00, 57.00
Kenny Pickett Diontae Johnson George Pickens, 01/01, bal, 195.5, 168, 48.5, 35, 37.5, 29, 1, 36, 1.0, 13.50, 61.60, 20.80, -1.90, 18.50, 6.20, 92.10, 3.90, 5.35, 0.71, 5.30, 1.47, 0.65, 19.00, 23.20, 34.90, 1.18, 0.82, 12.10, 4.65, 1.53, 35.80, 324.30, 46.00, 0.00, 0.00, 72.60, 0.00, 199.00, 60.00, 57.00
Kenny Pickett Diontae Johnson George Pickens, 01/08, cle, 195.5, 195, 53.5, 38, 37.5, 72, 0, 40, -2.5, 9.94, 61.20, 16.70, -3.41, 22.40, 6.00, 135.00, 4.70, 7.59, 0.88, 5.40, 1.18, 0.53, 19.40, 18.50, 30.50, 1.18, 0.65, 9.76, 5.18, 2.00, 38.50, 331.20, 29.90, 5.90, 0.00, 72.60, 0.00, 197.00, 49.00, 57.00
