ReceptionsPG, PlaysPG, TarsPG, ExpectedPointsPG, PointsPG, YardsPerPlay, TurnoversPG, FumblesPG, FirstDownsPG, PassCompsPG, PassAttPG, PassTDPG, PassIntPG, PassFirstDownsPG, PenaltiesPG, PenaltyFirstDownsPG, ScoresPerOffDrivePG, YardsPG, FeelsLike, WindSpeed, WindDirection, week, PassYdLine1, RecYdLine2, RecYdLine, result
13.00, 60.40, 19.70, 3.31, 16.30, 5.00, 1.76, 0.59, 17.10, 22.90, 34.90, 1.18, 1.18, 11.10, 5.65, 1.53, 25.70, 300.60, 66.30, 8.30, 30.00, 3, 231.50, 56.50, 54.50, 0
12.20, 63.40, 18.50, -7.77, 24.60, 5.80, 0.76, 0.41, 21.20, 23.50, 34.70, 1.47, 0.35, 12.10, 5.47, 1.65, 40.80, 365.60, 70.00, 0.00, 0.00, 4, 243.50, 67.50, 44.50, 0
11.60, 64.20, 17.60, -3.00, 25.10, 5.20, 1.24, 0.65, 20.20, 21.50, 31.60, 1.47, 0.59, 10.80, 5.24, 1.94, 36.00, 334.00, 61.00, 6.30, 76.00, 5, 239.50, 63.50, 49.50, 2
10.70, 58.90, 17.40, -4.97, 22.60, 5.90, 1.41, 0.59, 18.70, 18.20, 29.70, 1.41, 0.82, 10.30, 4.71, 1.41, 37.20, 346.10, 70.00, 0.00, 0.00, 6, 237.50, 65.50, 51.50, 0
11.60, 65.10, 19.10, -3.07, 20.60, 5.40, 1.59, 0.76, 20.60, 22.60, 35.40, 1.47, 0.82, 12.40, 5.29, 1.47, 36.10, 353.30, 61.60, 14.10, 201.00, 8, 228.50, 55.50, 48.50, 0
14.50, 64.70, 22.10, -3.07, 21.10, 5.40, 1.18, 0.35, 19.90, 25.80, 39.50, 1.71, 0.82, 12.60, 6.76, 1.82, 33.90, 351.60, 28.80, 9.30, 42.00, 9, 229.50, 50.50, 49.50, 0
13.50, 61.60, 20.80, -1.90, 18.50, 5.30, 1.47, 0.65, 19.00, 23.20, 34.90, 1.18, 0.82, 12.10, 4.65, 1.53, 35.80, 324.30, 41.50, 5.50, 308.00, 12, 219.50, 61.50, 45.50, 0
13.60, 61.70, 19.50, -4.45, 22.60, 5.50, 1.29, 0.35, 19.50, 22.10, 32.70, 1.35, 0.94, 11.90, 4.82, 1.29, 41.00, 341.10, 70.00, 0.00, 0.00, 15, 214.50, 40.50, 56.50, 0
13.10, 64.30, 20.20, -3.86, 21.70, 5.10, 1.18, 0.53, 19.80, 24.00, 36.40, 1.94, 0.65, 12.20, 5.76, 1.65, 35.90, 328.20, 49.10, 2.00, 96.00, 16, 223.50, 53.50, 57.50, 1
10.70, 58.90, 17.40, -4.97, 22.60, 5.90, 1.41, 0.59, 18.70, 18.20, 29.70, 1.41, 0.82, 10.30, 4.71, 1.41, 37.20, 346.10, 41.70, 8.40, 138.00, 17, 232.50, 48.50, 57.50, 0
14.40, 64.90, 21.20, -3.06, 22.00, 5.40, 1.00, 0.41, 20.40, 22.50, 34.10, 1.47, 0.59, 11.40, 6.18, 1.59, 34.20, 350.20, 87.10, 9.90, 219.00, 1, 206.50, 48.50, 26.50, 0
9.88, 64.30, 16.60, 1.53, 18.60, 4.80, 0.94, 0.24, 18.20, 20.40, 32.70, 0.88, 0.71, 9.76, 5.29, 1.59, 32.30, 311.10, 83.00, 16.00, 220.00, 2, 197.50, 44.50, 39.50, 0
10.70, 60.20, 18.50, -2.77, 20.40, 5.50, 1.35, 0.18, 18.50, 19.50, 31.90, 1.71, 1.18, 11.50, 5.65, 1.35, 37.30, 330.40, 61.00, 22.90, 330.00, 3, 180.50, 46.50, 26.50, 0
12.50, 63.60, 19.30, -7.26, 22.70, 5.70, 1.00, 0.41, 20.60, 21.90, 33.00, 1.53, 0.59, 11.80, 5.88, 0.88, 43.50, 362.10, 70.00, 0.00, 0.00, 4, 209.50, 58.50, 27.50, 0
10.70, 58.90, 17.40, -4.97, 22.60, 5.90, 1.41, 0.59, 18.70, 18.20, 29.70, 1.41, 0.82, 10.30, 4.71, 1.41, 37.20, 346.10, 60.20, 15.00, 250.00, 5, 211.50, 51.50, 32.50, 2
12.20, 64.20, 19.80, 3.26, 20.40, 5.00, 1.76, 0.65, 18.50, 21.40, 35.10, 1.65, 1.12, 11.40, 5.24, 1.76, 30.50, 322.00, 64.10, 11.40, 230.00, 6, 204.50, 50.50, 33.50, 0
13.50, 61.60, 20.80, -1.90, 18.50, 5.30, 1.47, 0.65, 19.00, 23.20, 34.90, 1.18, 0.82, 12.10, 4.65, 1.53, 35.80, 324.30, 65.20, 9.30, 13.00, 7, 225.50, 55.50, 35.50, 2
10.60, 62.30, 17.90, -1.25, 20.10, 5.40, 1.50, 0.69, 18.40, 20.60, 34.90, 1.06, 0.81, 10.80, 6.25, 1.25, 36.40, 335.70, 65.00, 9.10, 190.00, 8, 219.50, 55.50, 42.50, 2
13.20, 63.90, 21.10, -3.91, 23.50, 5.30, 0.82, 0.35, 19.80, 24.50, 36.70, 1.59, 0.47, 11.80, 4.94, 2.24, 37.50, 337.80, 85.90, 5.80, 315.00, 9, 227.50, 69.50, 47.50, 0
12.60, 62.30, 20.30, 0.28, 17.90, 5.10, 1.69, 0.63, 19.60, 22.60, 35.60, 1.31, 1.06, 11.30, 5.56, 1.81, 31.00, 319.10, 10.40, 20.10, 264.00, 10, 223.50, 58.50, 44.50, 2
12.60, 63.10, 20.20, -2.15, 21.10, 5.10, 1.18, 0.59, 18.50, 21.40, 33.50, 1.71, 0.59, 10.90, 5.71, 1.47, 33.00, 324.30, 56.00, 17.10, 170.00, 11, 205.50, 51.50, 41.50, 0
11.00, 58.70, 18.00, 0.43, 20.20, 5.20, 1.06, 0.53, 16.80, 18.10, 30.20, 1.53, 0.53, 9.12, 5.00, 1.71, 31.50, 304.60, 74.30, 5.30, 181.00, 1, 236.50, 53.50, 30.50, 2
11.60, 64.20, 17.60, -3.00, 25.10, 5.20, 1.24, 0.65, 20.20, 21.50, 31.60, 1.47, 0.59, 10.80, 5.24, 1.94, 36.00, 334.00, 88.50, 7.90, 67.00, 2, 241.50, 60.50, 42.50, 0
10.70, 58.90, 17.40, -4.97, 22.60, 5.90, 1.41, 0.59, 18.70, 18.20, 29.70, 1.41, 0.82, 10.30, 4.71, 1.41, 37.20, 346.10, 70.00, 0.00, 0.00, 3, 235.50, 65.50, 35.50, 2
10.30, 66.70, 16.00, -4.73, 24.70, 5.70, 1.59, 0.65, 21.90, 19.80, 30.70, 0.88, 0.94, 11.50, 5.59, 1.53, 35.20, 379.50, 85.70, 6.40, 17.00, 5, 246.50, 66.50, 37.50, 0
11.60, 64.20, 17.60, -3.00, 25.10, 5.20, 1.24, 0.65, 20.20, 21.50, 31.60, 1.47, 0.59, 10.80, 5.24, 1.94, 36.00, 334.00, 70.00, 0.00, 0.00, 6, 240.50, 64.50, 43.50, 1
12.60, 63.40, 21.20, -7.37, 21.80, 5.60, 1.12, 0.76, 21.80, 20.50, 33.40, 1.24, 0.35, 11.80, 6.53, 2.12, 39.80, 358.20, 76.80, 7.80, 13.00, 7, 229.50, 54.50, 35.50, 2
11.70, 63.50, 18.80, 0.43, 21.10, 5.00, 1.35, 0.47, 19.10, 23.10, 35.60, 1.18, 0.88, 10.60, 6.24, 2.06, 35.90, 320.00, 61.60, 14.10, 201.00, 8, 217.50, 51.50, 42.50, 1
12.20, 63.40, 18.50, -7.77, 24.60, 5.80, 0.76, 0.41, 21.20, 23.50, 34.70, 1.47, 0.35, 12.10, 5.47, 1.65, 40.80, 365.60, 87.10, 12.50, 135.00, 9, 239.50, 57.50, 43.50, 0
13.10, 64.30, 20.20, -3.86, 21.70, 5.10, 1.18, 0.53, 19.80, 24.00, 36.40, 1.94, 0.65, 12.20, 5.76, 1.65, 35.90, 328.20, 25.50, 7.20, 135.00, 10, 257.50, 65.50, 44.50, 2
13.50, 61.60, 20.80, -1.90, 18.50, 5.30, 1.47, 0.65, 19.00, 23.20, 34.90, 1.18, 0.82, 12.10, 4.65, 1.53, 35.80, 324.30, 79.50, 14.70, 226.00, 11, 225.50, 62.50, 45.50, 0
13.40, 63.30, 20.90, -9.39, 25.10, 6.20, 1.29, 0.59, 22.20, 20.80, 32.90, 1.53, 0.71, 12.30, 6.06, 1.94, 41.20, 392.40, 70.00, 0.00, 0.00, 12, 253.50, 60.50, 48.50, 0
14.50, 64.70, 22.10, -3.07, 21.10, 5.40, 1.18, 0.35, 19.90, 25.80, 39.50, 1.71, 0.82, 12.60, 6.76, 1.82, 33.90, 351.60, 51.20, 9.20, 23.00, 13, 235.50, 57.50, 44.50, 0
12.00, 64.80, 19.10, 1.87, 20.10, 5.10, 1.94, 1.00, 19.20, 20.30, 32.40, 1.35, 0.94, 10.20, 5.76, 2.00, 33.50, 330.20, 54.10, 8.40, 320.00, 14, 248.50, 55.50, 54.50, 2
9.88, 64.30, 16.60, 1.53, 18.60, 4.80, 0.94, 0.24, 18.20, 20.40, 32.70, 0.88, 0.71, 9.76, 5.29, 1.59, 32.30, 311.10, 35.60, 16.30, 77.00, 15, 208.50, 48.50, 44.50, 0
10.30, 66.70, 16.00, -4.73, 24.70, 5.70, 1.59, 0.65, 21.90, 19.80, 30.70, 0.88, 0.94, 11.50, 5.59, 1.53, 35.20, 379.50, 70.00, 0.00, 0.00, 16, 240.50, 51.50, 45.50, 1
14.50, 64.70, 22.10, -3.07, 21.10, 5.40, 1.18, 0.35, 19.90, 25.80, 39.50, 1.71, 0.82, 12.60, 6.76, 1.82, 33.90, 351.60, 52.50, 2.20, 75.00, 17, 269.50, 59.50, 58.50, 0
12.00, 64.80, 19.10, 1.87, 20.10, 5.10, 1.94, 1.00, 19.20, 20.30, 32.40, 1.35, 0.94, 10.20, 5.76, 2.00, 33.50, 330.20, 70.00, 0.00, 0.00, 1, 274.50, 66.50, 38.50, 0
13.10, 64.30, 20.20, -3.86, 21.70, 5.10, 1.18, 0.53, 19.80, 24.00, 36.40, 1.94, 0.65, 12.20, 5.76, 1.65, 35.90, 328.20, 72.90, 5.60, 331.00, 4, 263.50, 68.50, 39.50, 2
12.50, 63.60, 19.30, -7.26, 22.70, 5.70, 1.00, 0.41, 20.60, 21.90, 33.00, 1.53, 0.59, 11.80, 5.88, 0.88, 43.50, 362.10, 86.30, 8.10, 61.00, 5, 286.50, 62.50, 62.50, 0
10.70, 60.20, 18.50, -2.77, 20.40, 5.50, 1.35, 0.18, 18.50, 19.50, 31.90, 1.71, 1.18, 11.50, 5.65, 1.35, 37.30, 330.40, 60.30, 8.70, 215.00, 6, 288.50, 68.50, 60.50, 0
14.40, 64.90, 21.20, -3.06, 22.00, 5.40, 1.00, 0.41, 20.40, 22.50, 34.10, 1.47, 0.59, 11.40, 6.18, 1.59, 34.20, 350.20, 70.90, 7.60, 1.00, 7, 265.50, 64.50, 64.50, 0
13.50, 61.60, 20.80, -1.90, 18.50, 5.30, 1.47, 0.65, 19.00, 23.20, 34.90, 1.18, 0.82, 12.10, 4.65, 1.53, 35.80, 324.30, 76.70, 3.20, 216.00, 8, 285.50, 66.50, 73.50, 2
13.60, 61.70, 19.50, -4.45, 22.60, 5.50, 1.29, 0.35, 19.50, 22.10, 32.70, 1.35, 0.94, 11.90, 4.82, 1.29, 41.00, 341.10, 92.90, 8.10, 41.00, 9, 271.50, 63.50, 65.50, 0
10.10, 65.70, 17.00, -6.66, 23.60, 5.50, 1.47, 0.65, 20.40, 20.20, 32.20, 1.35, 0.82, 11.10, 5.76, 1.71, 37.20, 361.70, 50.20, 4.90, 75.00, 10, 286.50, 62.50, 63.50, 0
9.94, 61.20, 16.70, -3.41, 22.40, 5.40, 1.18, 0.53, 19.40, 18.50, 30.50, 1.18, 0.65, 9.76, 5.18, 2.00, 38.50, 331.20, 56.00, 17.10, 170.00, 11, 261.50, 60.50, 58.50, 0
11.40, 63.30, 18.10, -1.80, 20.30, 5.00, 0.82, 0.41, 18.80, 18.90, 31.50, 1.00, 0.41, 9.35, 5.41, 2.24, 34.80, 314.80, 70.90, 3.20, 360.00, 12, 268.50, 61.50, 72.50, 0
13.00, 60.40, 19.70, 3.31, 16.30, 5.00, 1.76, 0.59, 17.10, 22.90, 34.90, 1.18, 1.18, 11.10, 5.65, 1.53, 25.70, 300.60, 53.30, 8.80, 163.00, 13, 250.50, 50.50, 57.50, 0
